Fiscal Year,Fiscal Period,Month,Information Date,Branch,Service,SSC Client,Metric Name,Value,Metric Type
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),1.86,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),351,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),194.3,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1065.02,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),1,Non Cumulative
2019-2020,8,November,11/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),352,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),190.1,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1059.64,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),11,Non Cumulative
2019-2020,9,December ,12/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),360,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),195.5,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1081.37,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),26.8,Non Cumulative
2019-2020,10,January ,1/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),362.6,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),196.8,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1087.63,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),31.3,Non Cumulative
2019-2020,11,February ,2/29/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),383,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),196.8,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1092.77,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),44.3,Non Cumulative
2019-2020,12,March ,3/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),384,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),198.2,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1097.75,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),44.7,Non Cumulative
2020-2021,1,April,4/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),383,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),190.5,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1112.98,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),45.5,Non Cumulative
2020-2021,2,May,5/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),430,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),190.9,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1102.85,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),105.39,Non Cumulative
2020-2021,3,June,6/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),415,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),195.3,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1071,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),105,Non Cumulative
2020-2021,4,July,7/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),473,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),199.1,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1082.97,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),111.1,Non Cumulative
2020-2021,5,August,8/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),473,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),218,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1102,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),125,Non Cumulative
2020-2021,6,September,9/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),483,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),203,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1102,Non Cumulative
2020-2021,7,October,10/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
